p       rhoM        rhoL        rhoH
0.002   1           1           1
0.003   0.8005      0.8005      0.8005
0.004	0.6214	    0.6214      0.6214
0.007	0.36131	    0.36131	    0.36131
0.012	0.21125	    0.21125	    0.21125
0.017	0.14916	    0.14916	    0.14916
0.022	0.11526	    0.11526	    0.11526
0.027	0.093921	0.093921	0.093921
0.032	0.079246	0.079246	0.079246
0.037	0.068537	0.068537	0.068537
0.042	0.060378	0.060378	0.060378
0.047	0.053955	0.053955	0.053955
0.052	0.048767	0.048767	0.048767
0.057	0.044489	0.044489	0.044489
0.062	0.040902	0.040902	0.040902
0.067	0.037849	0.037849	0.037849
0.072	0.035221	0.035221	0.035221
0.077	0.032934	0.032934	0.032934
0.082	0.030926	0.030926	0.030926
0.0834  0.3232      0.03041     0.3379
0.087	0.25014	0.029148	0.42043
0.092	0.21289	0.027564	0.46992
0.097	0.1888	0.026143	0.50524
0.102	0.17084	0.024862	0.53355
0.107	0.15657	0.0237	0.55739
0.112	0.14481	0.022642	0.57803
0.117	0.13488	0.021674	0.59623
0.122	0.12634	0.020786	0.61249
0.127	0.11889	0.019968	0.62717
0.132	0.11231	0.019211	0.64052
0.137	0.10647	0.01851	0.65275
0.142	0.10122	0.017858	0.664
0.147	0.096487	0.017251	0.67442
0.152	0.092188	0.016684	0.68409
0.157	0.088264	0.016152	0.6931
0.162	0.084668	0.015654	0.70153
0.167	0.081357	0.015185	0.70943
0.172	0.0783	0.014744	0.71687
0.177	0.075466	0.014327	0.72387
0.182	0.072833	0.013934	0.73048
0.187	0.070378	0.013561	0.73674
0.192	0.068084	0.013208	0.74268
0.197	0.065936	0.012873	0.74831
0.202	0.063919	0.012554	0.75368
0.207	0.062022	0.012251	0.75878
0.212	0.060234	0.011962	0.76365
0.217	0.058547	0.011686	0.76831
0.222	0.056951	0.011423	0.77276
0.227	0.05544	0.011171	0.77702
0.232	0.054007	0.010931	0.7811
0.237	0.052645	0.0107	0.78502
0.242	0.051351	0.010479	0.78879
0.247	0.050118	0.010267	0.7924
0.252	0.048942	0.010063	0.79589
0.257	0.04782	0.0098673	0.79924
0.262	0.046749	0.009679	0.80247
0.267	0.045723	0.0094977	0.80559
0.272	0.044742	0.0093232	0.80859
0.277	0.043801	0.0091549	0.8115
0.282	0.042899	0.0089925	0.81431
0.287	0.042033	0.0088359	0.81703
0.292	0.041201	0.0086846	0.81966
0.297	0.0404	0.0085384	0.8222
0.302	0.03963	0.008397	0.82467
0.307	0.038889	0.0082603	0.82706
0.312	0.038175	0.0081279	0.82938
0.317	0.037486	0.0079997	0.83164
0.322	0.036821	0.0078755	0.83382
0.327	0.036179	0.007755	0.83595
0.332	0.035559	0.0076382	0.83801
0.337	0.03496	0.0075249	0.84002
0.342	0.03438	0.0074149	0.84198
0.347	0.033819	0.0073081	0.84388
0.352	0.033276	0.0072043	0.84573
0.357	0.03275	0.0071034	0.84753
0.362	0.03224	0.0070052	0.84929
0.367	0.031746	0.0069098	0.851
0.372	0.031266	0.0068169	0.85267
0.377	0.0308	0.0067265	0.8543
0.382	0.030348	0.0066385	0.85589
0.387	0.029909	0.0065527	0.85744
0.392	0.029482	0.0064691	0.85896
0.397	0.029068	0.0063877	0.86044
0.402	0.028664	0.0063082	0.86188
0.407	0.028271	0.0062307	0.8633
0.412	0.027889	0.0061551	0.86468
0.417	0.027517	0.0060813	0.86603
0.422	0.027155	0.0060092	0.86735
0.427	0.026802	0.0059389	0.86864
0.432	0.026458	0.0058701	0.86991
0.437	0.026122	0.005803	0.87115
0.442	0.025795	0.0057373	0.87236
0.447	0.025476	0.0056732	0.87355
0.452	0.025165	0.0056104	0.87472
0.457	0.024861	0.005549	0.87586
0.462	0.024564	0.005489	0.87697
0.467	0.024274	0.0054302	0.87807
0.472	0.023991	0.0053727	0.87915
0.477	0.023714	0.0053163	0.8802
0.482	0.023443	0.0052612	0.88123
0.487	0.023179	0.0052072	0.88225
0.492	0.02292	0.0051543	0.88324
0.497	0.022667	0.0051024	0.88422
0.502	0.02242	0.0050516	0.88518
0.507	0.022177	0.0050018	0.88612
0.512	0.02194	0.0049529	0.88705
0.517	0.021708	0.004905	0.88796
0.522	0.021481	0.004858	0.88885
0.527	0.021258	0.004812	0.88973
0.532	0.02104	0.0047667	0.89059
0.537	0.020826	0.0047223	0.89144
0.542	0.020616	0.0046788	0.89227
0.547	0.020411	0.004636	0.89309
0.552	0.020209	0.004594	0.8939
0.557	0.020012	0.0045528	0.89469
0.562	0.019818	0.0045123	0.89547
0.567	0.019628	0.0044725	0.89623
0.572	0.019441	0.0044334	0.89699
0.577	0.019258	0.004395	0.89773
